GO ID,Bg Count,Hit,Exp,log2FC,Adj P-val
GO:0070847,9,9,0.0059,10.59,1.3960413823345502e-28
GO:0016592,27,9,0.0176,9.0,3.246788096727209e-22
GO:0005634,2715,18,1.7671,3.35,3.7046171005465505e-14
GO:0005737,2630,14,1.7118,3.03,1.6505082005084623e-09
GO:0005783,452,7,0.2942,4.57,6.729348994978661e-08
GO:0005789,339,6,0.2206,4.77,3.0708252035250436e-07
GO:0005697,2,2,0.0013,10.59,1.3485153111564405e-06
GO:0010494,24,3,0.0156,7.59,1.443879035952949e-06
GO:0048471,102,4,0.0664,5.91,1.5343711939990028e-06
GO:0035145,5,2,0.0033,9.26,9.428091660209501e-06
GO:0043186,99,3,0.0644,5.54,7.872210522318156e-05
GO:0000932,35,2,0.0228,6.46,0.0004618079253642144
GO:0038201,1,1,0.0007,10.59,0.000998020231605782
GO:0031501,1,1,0.0007,10.59,0.000998020231605782
GO:1990529,1,1,0.0007,10.59,0.000998020231605782
GO:0005846,2,1,0.0013,9.59,0.0018706979588122106
GO:0016607,40,1,0.026,5.26,0.03479446164263389
GO:0005681,80,1,0.0521,4.26,0.06490350322653314
GO:0055120,96,1,0.0625,4.0,0.07341665193494093
GO:0030425,130,1,0.0846,3.56,0.09345055515870287
GO:0005730,184,1,0.1198,3.06,0.12387334376289992
GO:0016020,6473,7,4.2132,0.73,0.1244377700496558
GO:0042995,365,1,0.2376,2.07,0.21221807513462945
